MMSI;VesselName;IMO;CallSign;VesselType;Status;Length;Width;Draft;Cargo;TransceiverClass;BaseDateTime
109000120;109000120;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 07:50
109000134;109000134;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 07:46
109000148;109000148;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 16:07
109000152;109000152;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 18:28
109012017;109012017;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 15:01
109012020;109012020;IMO0000000;BO12345;0.0;;87.0;0.0;;;B;01/12/2023 16:33
109030038;109030038;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;09/12/2023 22:44
109030039;109030039;IMO0000000;BO12345;0.0;;97.0;0.0;;;B;13/12/2023 15:59
109060914;109060914;IMO0000000;BO12345;0.0;;2.0;0.0;;;B;03/12/2023 13:47
109070092;109070092     ??????;IMO0000000;100%;0.0;;0.0;0.0;;;B;08/12/2023 04:38
109090201;109090201;IMO0000000;BO12345;0.0;;82.0;0.0;;;B;01/12/2023 07:46
109090205;109090205;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 16:59
109110156;109110156;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;09/12/2023 19:26
109120514;109120514;IMO0000000;BO12345;0.0;;100.0;0.0;;;B;01/12/2023 15:20
111111111;ALPHA KILO;IMO0000000;<Unknown>;37.0;;0.0;0.0;0.0;0.0;B;04/12/2023 18:16
114675078;<Unknown>;<Unknown>;<Unknown>;;5.0;;;;;A;21/12/2023 03:45
114776199;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;29/12/2023 03:47
114987912;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 20:15
114987929;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 20:24
114987936;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 17:46
114987987;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;03/12/2023 03:03
123456789;ODYSSEY;IMO0000000;ODYSSEY;37.0;;25.0;10.0;0.0;33.0;B;29/12/2023 17:44
123456792;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 15:13
123456794;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;23/12/2023 05:19
123456795;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 01:25
123456796;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;03/12/2023 06:56
123456800;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;05/12/2023 15:52
123456807;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 15:21
123456808;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 15:56
123456809;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;08/12/2023 15:16
123456952;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 01:04
123456954;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 15:16
123456955;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;01/12/2023 01:02
129129903;DRAGON FIRE;IMO0000000;<Unknown>;36.0;;16.0;5.0;;;B;01/12/2023 00:05
134871844;<Unknown>;<Unknown>;<Unknown>;;4.0;;;;;A;27/12/2023 06:58
141871028;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;14/12/2023 20:21
155012139;KINGFISH;IMO0000000;KINGFSH;37.0;;16.0;4.0;;;B;26/12/2023 16:45
155017179;0.C.D;IMO0000000;CECE;37.0;;16.0;4.0;;;B;02/12/2023 16:32
168394562;<Unknown>;<Unknown>;<Unknown>;;1.0;;;;;A;17/12/2023 10:34
168804154;<Unknown>;<Unknown>;<Unknown>;;;;;;;B;15/12/2023 20:33
176783051;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;20/12/2023 06:37
181787047;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;02/12/2023 17:15
181793388;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;12/12/2023 19:38
184979926;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;22/12/2023 23:07
185476679;<Unknown>;<Unknown>;<Unknown>;;2.0;;;;;A;20/12/2023 10:17
185507272;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;29/12/2023 17:22
191283710;PYXIS;<Unknown>;<Unknown>;30.0;7.0;30.0;10.0;0.0;30.0;A;01/12/2023 00:00
195722026;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;15/12/2023 19:07
197307900;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;17/12/2023 16:32
200000000;WELLS PORCHE;<Unknown>;<Unknown>;0.0;;0.0;0.0;0.0;0.0;B;02/12/2023 15:12
200000001;IDN WARSHIP :);IMO0000000;<Unknown>;37.0;;0.0;0.0;0.0;30.0;B;03/12/2023 05:37
200014202;<Unknown>;IMO0000000;<Unknown>;37.0;;0.0;0.0;;;B;01/12/2023 12:09
201129244;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;25/12/2023 03:21
202986726;<Unknown>;<Unknown>;<Unknown>;;0.0;;;;;A;25/12/2023 11:34
203246076;S/Y MOVING 2;IMO0000000;<Unknown>;36.0;;14.0;8.0;;;B;15/12/2023 17:59
203661016;SHELL WHALE;IMO2345678;WRFF619;99.0;5.0;0.0;0.0;12.3;99.0;A;01/12/2023 00:05
205097000;FLANDERS INNOVATION;IMO9897547;ONKT;89.0;0.0;230.0;36.0;8.6;89.0;A;03/12/2023 07:02
205161000;CAMUS;IMO9937103;ONLO;89.0;0.0;328.0;60.0;21.0;89.0;A;25/12/2023 08:42
205283000;KAPRIJKE;IMO9687485;ONIK;80.0;0.0;181.0;;;80.0;A;18/12/2023 15:24
205402470;BELLA DONNA;IMO0000000;OQ4024;37.0;;14.0;4.0;;;B;27/12/2023 09:47
205481610;CARATI;IMO0000000;OR4816;36.0;;13.0;7.0;;;B;01/12/2023 01:14
205555630;BLUEWATER;IMO0000000;OP5556;36.0;;13.0;7.0;;;B;07/12/2023 11:28
205663000;IRIS;IMO9529968;ONID;80.0;5.0;333.0;60.0;22.4;80.0;A;01/12/2023 00:04
205677000;HOJO;IMO9457543;ONIG;80.0;0.0;330.0;60.0;21.6;80.0;A;02/12/2023 07:22
205685000;KNOKKE;IMO9687497;ONIL;80.0;0.0;181.0;;;89.0;A;02/12/2023 08:51
205691000;KONTICH;IMO9687502;ONIP;89.0;0.0;180.0;30.0;9.5;89.0;A;21/12/2023 00:49
205717000;LA TONDA;IMO9748485;ONIY;70.0;0.0;199.0;;;70.0;A;01/12/2023 00:10
205736000;KAPELLEN;IMO9719290;ONJG;89.0;0.0;180.0;30.0;7.6;89.0;A;08/12/2023 14:05
205755000;ORION;IMO9825453;ORMB;90.0;3.0;215.0;50.0;10.5;90.0;A;01/12/2023 00:00
205848430;JIYU;IMO0000000;OP8484;36.0;;16.0;7.0;;;B;18/12/2023 12:40
205958030;MUEYU;IMO0000000;<Unknown>;36.0;;12.0;4.0;;;B;16/12/2023 15:57
207832820;TWINS;<Unknown>;LZH3282;37.0;;;;;;B;03/12/2023 21:36
209008000;LABRADOR;IMO9415222;5BXP2;70.0;0.0;184.0;23.0;10.4;70.0;A;12/12/2023 22:00
209012000;ASTRAEA SB;IMO9401960;5BPR4;70.0;5.0;225.0;32.0;7.2;70.0;A;01/12/2023 00:05
209015000;TUNDRA;IMO9415208;5BVN2;70.0;0.0;185.0;23.0;10.4;70.0;A;01/12/2023 02:57
209034000;FLORA;IMO9583158;5BHY3;70.0;0.0;229.0;32.0;14.4;70.0;A;08/12/2023 06:39
209109000;UBC SALAVERRY;IMO9426881;5BDP3;70.0;0.0;171.0;28.0;10.6;70.0;A;10/12/2023 00:46
209136000;UBC TAMPA;IMO9416707;5BVM2;70.0;0.0;182.0;28.0;10.9;70.0;A;11/12/2023 14:33
209156000;UBC STAVANGER;IMO9287340;P3XJ9;70.0;0.0;171.0;27.0;10.4;79.0;A;05/12/2023 18:06
209228000;PELAGIC TOPE;IMO9341940;5BFM6;80.0;5.0;228.0;32.0;12.4;80.0;A;03/12/2023 05:19
209264000;EVITA II;IMO9649562;5BYZ4;70.0;0.0;85.0;20.0;5.9;70.0;A;17/12/2023 20:56
209335000;LAKE SUPERIOR;IMO8025991;P3HK9;70.0;0.0;188.0;23.0;;70.0;A;10/12/2023 13:02
209425000;WARNOW BOATSWAIN;IMO9509803;5BMJ3;74.0;0.0;180.0;25.0;9.5;74.0;A;01/12/2023 03:16
209429000;EVMILOS;IMO9592173;5BCS5;70.0;0.0;229.0;32.0;8.0;70.0;A;15/12/2023 16:02
209430000;MYKONOS WAVE;IMO9453406;5BMN3;70.0;0.0;229.0;36.0;14.3;70.0;A;01/12/2023 00:00
209443000;CYMONA ENERGY;IMO9638173;5BMQ4;70.0;0.0;224.0;32.0;14.1;70.0;A;10/12/2023 10:52
209444000;CONTSHIP FOX;IMO9507714;5BDA5;70.0;0.0;148.0;24.0;8.3;70.0;A;26/12/2023 00:46
209470000;MSC BOSPHORUS;IMO9247742;5BDF5;79.0;0.0;300.0;40.0;10.6;79.0;A;09/12/2023 12:56
209504000;CONTSHIP ICE;IMO9517422;5BDU5;72.0;0.0;161.0;25.0;7.0;72.0;A;11/12/2023 09:58
209513000;OCEAN PEARL;IMO9060247;C4BQ2;70.0;0.0;169.0;27.0;9.8;49.0;A;01/12/2023 00:31
209550000;CSCL AMERICA;IMO9285990;P3XP9;70.0;0.0;334.0;42.0;14.5;;A;27/12/2023 02:52
209565000;UBC HOUSTON;IMO9697143;5BFC6;70.0;0.0;180.0;32.0;9.3;70.0;A;29/12/2023 14:49
209566000;LEMESSOS QUEEN;IMO9959149;5BFT6;70.0;1.0;229.0;32.0;14.5;70.0;A;01/12/2023 00:04
209593000;SAINT NEKTARIS;IMO9440291;5BDZ3;70.0;0.0;167.0;23.0;9.0;0.0;A;17/12/2023 21:56
209596000;CAPE BREEZE;IMO9518919;5BWU2;70.0;0.0;292.0;45.0;18.2;;A;17/12/2023 03:47
209605000;AKILI;IMO9222479;P3AS9;70.0;0.0;189.0;32.0;12.0;70.0;A;08/12/2023 03:37
209615000;ATHENS GLORY;IMO9247766;5BFZ5;71.0;0.0;300.0;40.0;9.3;71.0;A;29/12/2023 11:23
209641000;CAMPECHE BAY;IMO9167980;P3ZF9;70.0;0.0;89.0;12.0;4.8;79.0;A;01/12/2023 16:30
209682000;AESCHYLUS GRAECIA;IMO9841964;5BHJ5;70.0;0.0;229.0;32.0;6.9;70.0;A;02/12/2023 11:39
209697000;CONTSHIP LEO;IMO9403451;5BHD6;74.0;0.0;148.0;25.0;7.3;74.0;A;03/12/2023 12:10
209699000;CONTSHIP LUV;IMO9406934;5BHB6;70.0;0.0;148.0;23.0;7.3;70.0;A;09/12/2023 16:08
209705000;CONTSHIP AIR;IMO9364356;5BHG6;71.0;0.0;148.0;23.0;6.4;71.0;A;02/12/2023 21:56
209727000;CONTSHIP BEE;IMO9364344;5BHF6;71.0;0.0;148.0;23.0;9.0;71.0;A;01/12/2023 08:13
209729000;PROGRESO;IMO9274264;P3ZH9;70.0;0.0;99.0;16.0;5.9;70.0;A;01/12/2023 00:00
209782000;PEGASUS;IMO9611242;5BNQ3;70.0;0.0;229.0;32.0;14.5;70.0;A;19/12/2023 21:54
209786000;VENUS HORIZON;IMO9604952;5BNP3;70.0;0.0;234.0;38.0;14.4;70.0;A;12/12/2023 19:29
209862000;WARNOW WHALE;IMO9395032;5BXD3;70.0;0.0;166.0;25.0;9.5;70.0;A;16/12/2023 09:54
209870000;ZOE;IMO9662447;5BXE3;70.0;0.0;225.0;32.0;14.1;70.0;A;06/12/2023 01:50
209888000;CAPE ALTIUS;IMO9848730;5BLF5;70.0;0.0;186.0;35.0;9.0;70.0;A;24/12/2023 07:50
209933000;UBC SAGUNTO;IMO9426867;5BBF3;70.0;0.0;171.0;28.0;10.6;79.0;A;26/12/2023 12:21
209964000;ARISTOTELES GRAECIA;IMO9843766;5BLH5;70.0;0.0;229.0;32.0;11.8;70.0;A;06/12/2023 20:53
209997000;GAIL BHUWAN;IMO9877145;5BNK5;81.0;0.0;298.0;48.0;9.6;81.0;A;26/12/2023 17:41
210000000;AMORA SANTOS I;IMO0000000;<Unknown>;52.0;;0.0;0.0;;;B;01/12/2023 00:00
210059000;SANTIAGO;IMO9255050;P3GK9;70.0;0.0;171.0;27.0;10.4;70.0;A;08/12/2023 03:08
210065000;QUEEN B III;IMO9333369;5BPK5;79.0;5.0;179.0;28.0;9.3;79.0;A;01/12/2023 00:04
210093000;PEDHOULAS ROSE;IMO9738038;5BLY4;70.0;0.0;229.0;32.0;7.5;70.0;A;02/12/2023 10:18
210106000;VIRGEN DE LA AURORA;IMO9667930;5BQG5;80.0;0.0;183.0;32.0;8.2;80.0;A;17/12/2023 19:39
210107000;VIRGEN DEL QUINCHE;IMO9568031;5BQJ5;89.0;0.0;180.0;32.0;10.6;89.0;A;20/12/2023 13:11
210115000;OCEAN GLORY;IMO9278648;C4MC2;70.0;0.0;178.0;28.0;10.6;70.0;A;10/12/2023 23:55
210136000;KNOSSOS WAVE;IMO9454917;5BQL3;70.0;0.0;229.0;36.0;14.2;70.0;A;03/12/2023 13:52
210159000;WARNOW DOLPHIN;IMO9395070;5BTW3;70.0;0.0;166.0;25.0;9.5;70.0;A;01/12/2023 22:33
210185000;ATLANTIS TRADE;IMO9620994;5BTY3;70.0;0.0;189.0;28.0;10.5;70.0;A;26/12/2023 03:46
210210000;CAPE CORFU;IMO9857432;5BTK5;70.0;0.0;186.0;35.0;9.2;70.0;A;01/12/2023 00:33
210234000;UBC SANTA MARTA;IMO9380805;5BDK2;70.0;0.0;171.0;27.0;10.4;79.0;A;01/12/2023 00:00
210296000;UNDARUM;IMO9430090;5BWD2;70.0;0.0;132.0;19.0;7.7;79.0;A;01/12/2023 09:44
210328000;FULMAR EXPLORER;IMO9418860;5BKQ5;99.0;3.0;80.0;20.0;5.9;99.0;A;02/12/2023 18:17
210347000;UBC TAMPICO;IMO9285354;P3YN9;70.0;0.0;182.0;28.0;10.8;70.0;A;23/12/2023 00:31
210362000;SANTIAGO I;IMO9730347;5BXZ5;89.0;5.0;182.0;32.0;11.4;82.0;A;01/12/2023 11:05
210440000;ARGONAUT I;IMO8821826;5BGB2;90.0;0.0;81.0;14.0;4.2;70.0;A;22/12/2023 11:47
210478000;TITAN UNIKUM;IMO9468437;5BEV6;80.0;0.0;153.0;20.0;6.6;80.0;A;01/12/2023 00:05
210499000;PIA;IMO9113202;5BBR6;70.0;5.0;100.0;17.0;4.3;70.0;A;01/12/2023 00:07
210531000;CAPE VENI;IMO9344485;C4UU2;70.0;1.0;289.0;45.0;18.2;70.0;A;01/12/2023 00:06
210537000;ATLANTICA PROVIDER;IMO9343766;5BDA6;90.0;0.0;86.0;20.0;4.3;90.0;A;18/12/2023 06:00
210565000;ASIAN TRADER;IMO9245689;P3LC9;70.0;0.0;147.0;23.0;8.5;70.0;A;01/12/2023 00:04
210568000;ELBRUNNER;IMO9395563;5BDV6;79.0;0.0;139.0;22.0;4.8;79.0;A;07/12/2023 10:09
210586921;<Unknown>;<Unknown>;<Unknown>;;2.0;;;;;A;22/12/2023 15:40
210589000;MARATHASSA;IMO9698862;5BEB4;70.0;5.0;229.0;32.0;12.3;70.0;A;01/12/2023 00:05
210593000;CAPE STEFANIE;IMO9176113;5BRN3;70.0;0.0;289.0;45.0;17.8;70.0;A;03/12/2023 06:10
210602000;ORIENTAL TOPAZ;IMO9316971;C4NB2;70.0;0.0;134.0;23.0;8.5;;A;12/12/2023 13:10
210614000;CYMONA PROGRESS;IMO9602435;5BSF4;70.0;0.0;228.0;32.0;14.4;70.0;A;21/12/2023 13:45
210709408;<Unknown>;<Unknown>;<Unknown>;;4.0;;;;;A;28/12/2023 14:15
210737000;ANASTASIA;IMO9292618;C4FP2;70.0;0.0;225.0;32.0;14.2;70.0;A;11/12/2023 09:47
210749000;PACIFIC TRADER;IMO9406922;5BPJ3;70.0;1.0;147.0;23.0;8.5;74.0;A;01/12/2023 00:04
210786000;UBC TOKYO;IMO9300752;C4DT2;70.0;1.0;182.0;28.0;10.8;77.0;A;01/12/2023 00:00
210905000;ARSOS;IMO9395123;5BAQ2;70.0;0.0;166.0;25.0;9.5;70.0;A;01/12/2023 16:37
210959000;GUADALUPE;IMO9330941;C4FR2;70.0;0.0;99.0;16.0;5.9;70.0;A;04/12/2023 01:44
211002010;<Unknown>;IMO0000000;<Unknown>;0.0;;0.0;0.0;;;B;01/12/2023 00:05
211108330;CACIQUE;<Unknown>;DK4025;36.0;;;;;;B;26/12/2023 18:49
211123456;BERLIN;<Unknown>;DBAH;37.0;;27.0;7.0;2.2;37.0;B;08/12/2023 18:08
211155620;MANANA;IMO0000000;DC3881;37.0;;13.0;8.0;;;B;12/12/2023 15:39
211162740;SEEFALKE;IMO0000000;DB5108;37.0;;12.0;2.0;;;B;09/12/2023 13:44
211223160;CARELLI;IMO0000000;DG5917;37.0;;11.0;4.0;;;B;03/12/2023 19:55
211223580;TORTUGA;IMO0000000;DGVT2;36.0;;15.0;7.0;;;B;06/12/2023 16:56
211232610;BOGOMIL;<Unknown>;DEGV;;;;;;;B;28/12/2023 19:07
211235543;CGSAIL_SINS2AIS;<Unknown>;SINSAIS;55.0;7.0;198.0;20.0;0.0;55.0;A;01/12/2023 00:00
211245050;RELAX;IMO0000000;DPBH;36.0;;12.0;7.0;;;B;06/12/2023 17:28
211274400;SY SIMA;IMO0000000;DF3530;36.0;;13.0;4.0;;;B;15/12/2023 18:08
211369500;CARPE DIEM;IMO0000000;DB7204;36.0;;15.0;5.0;;;B;18/12/2023 21:17
211438460;EXODUS;<Unknown>;DHAK2;36.0;;;;;;B;05/12/2023 12:07
211489700;RUPE;IMO0000000;DHQB;36.0;;15.0;4.0;;;B;02/12/2023 05:33
211495450;SPICA;<Unknown>;DAHA;;;;;;;B;03/12/2023 18:39
211599100;OBELIX;<Unknown>;DB7587;36.0;;;;;;B;08/12/2023 01:37
211605910;VENTURA;IMO0000000;DPNG;36.0;;17.0;8.0;;;B;16/12/2023 16:27
211629240;SY BARADAL;IMO0000000;DJ6323;36.0;;13.0;7.0;;;B;01/12/2023 00:07
211652700;BLUE;<Unknown>;DC7661;36.0;;;;;;B;02/12/2023 17:42
211723180;RIPPLE;<Unknown>;DEBG;36.0;;;;;;B;01/12/2023 00:00
211734730;LATONA;IMO0000000;DJSP;36.0;;16.0;4.0;;;B;03/12/2023 20:15
211737310;ALTIMATE;IMO0000000;DA4675;36.0;;12.0;4.0;;;B;05/12/2023 11:55
211778580;FLORA;IMO0000000;DH9755;37.0;;15.0;4.0;;;B;08/12/2023 13:55
211779740;FEROX;IMO0000000;<Unknown>;36.0;;11.0;4.0;;;B;03/12/2023 20:57
211781740;LASAVO;IMO0000000;DJ9418;36.0;;15.0;8.0;;;B;01/12/2023 00:00
211817190;TI AMA;IMO0000000;DDJV;36.0;;0.0;0.0;;;B;04/12/2023 20:50
211835930;LUNA;IMO0000000;DB3229;36.0;;13.0;4.0;;;B;01/12/2023 14:33
211836470;OFF PISTE;IMO0000000;DG2342;36.0;;14.0;8.0;;;B;14/12/2023 19:45
211839000;CHICAGO EXPRESS;IMO9295268;DCUJ2;70.0;0.0;336.0;42.0;14.6;74.0;A;01/12/2023 05:15
211851050;ONE PIECE;IMO0000000;DDRZ2;37.0;;14.0;6.0;;;B;19/12/2023 16:32
211878100;SOOON;IMO0000000;DHTR2;36.0;;15.0;8.0;;;B;07/12/2023 03:27
211999111;WONDER OTS RB1;IMO0000000;C6EY2;51.0;;10.0;2.0;;;B;23/12/2023 15:18
212049000;TUFTY;IMO9393163;5BMK2;70.0;5.0;185.0;23.0;10.4;70.0;A;01/12/2023 06:22
212093000;BARNACLE;IMO9409742;5BNK2;70.0;0.0;185.0;23.0;10.4;79.0;A;01/12/2023 22:06
212122000;VITA KOUAN;IMO9750036;5BKT4;70.0;5.0;199.0;;;70.0;A;01/12/2023 00:00
